POSIZIONE;DATA;PARTENZA STIMATA;ARRIVO STIMATO;PROBLEMA;CONSEGUENZE;LINK
Campobasso-Roma;07/07/2019;05:47;08:53;UNKNOWN;Anticipo di 13 minuti;"https://facebook.com/story.php?story_fbid=2281511482097651&id=1652501871665285
"
Roma-Campobasso;22/07/2019;09:07;12:15;UNKNOWN;Anticipo di 4 minuti;https://facebook.com/story.php?story_fbid=2291374944444638&id=1652501871665285
Roma-Campobasso;07/08/2019;06:00;09:12;Lavori sulla linea;"Treno cancellato; Bus sostitutivo";https://facebook.com/story.php?story_fbid=2301942420054557&id=1652501871665285
Roma-Campobasso;20/08/2019;UNKNOWN;UNKNOWN;UNKNOWN;Partenza ritardata di 6 ore (almeno);"
https://facebook.com/story.php?story_fbid=2310645339184265&id=1652501871665285"
Roma-Campobasso;02/09/2019;09:07;12:15;UNKNOWN;"Ritardo di 20 minuti (partenza); Ritardo di 60 minuti (viaggio) ";https://facebook.com/story.php?story_fbid=2319646238284175&id=1652501871665285
Roma-Campobasso;04/09/2019;17:32;20:45;Annuncio binario sbagliato;Partenza da un altro binario;"
https://facebook.com/story.php?story_fbid=2321135201468612&id=1652501871665285"
Cassino-Venafro;;19:35;20:15;Guasto tubo dell'aria scoppiato;UNKNOWN;"
https://facebook.com/story.php?story_fbid=2325036251078507&id=1652501871665285"
Campobasso-Vinchiaturo;11/09/2019;08:36;;Treno guastato fermo sui binari;"Treno cancellato; Bus sostitutivo";"

https://facebook.com/story.php?story_fbid=2326079497640849&id=1652501871665285"
