POSIZIONE;DATA;PARTENZA STIMATA;ARRIVO STIMATO;PROBLEMA;CONSEGUENZE;LINK
Roma-Cassino;23/12/2019;UNKNOWN;UNKNOWN;;Ritardo di 60 minuti;discord
Carpinone-Bojano;19/12/2019;13:07;UNKNOWN;Treno colpito da un fulmine;Ritardo;https://facebook.com/story.php?story_fbid=2458075251107939&id=1652501871665285
Cassino-Roma;09/12/2019;06:07;07:48;Assenza autista dell'autobus;Ritardo di 80 minuti (almeno);https://facebook.com/story.php?story_fbid=2447959302119534&id=1652501871665285
Cassino-Roma;01/12/2019;UNKNOWN;UNKNOWN;Sovraffollamento;Ritardo;https://facebook.com/story.php?story_fbid=2441234392792025&id=1652501871665285
Roma-Campobasso;27/11/2019;17:32;UNKNOWN;UNKNOWN;Ritardo;https://facebook.com/story.php?story_fbid=2437073076541490&id=1652501871665285
Campobasso-Roma;26/11/2019;05:45;UNKNOWN;UNKNOWN;Ritardo di 89 minuti;https://facebook.com/story.php?story_fbid=2436194103296054&id=1652501871665285
Venafro-Isernia;19/11/2019;05:45;UNKNOWN;Guasto al passaggio al liello;Ritardo di 20/35 minuti;https://facebook.com/story.php?story_fbid=2429774233938041&id=1652501871665285
Campobasso-Roma;13/11/2019;05:45;08:53;UNKNOWN;Ritardo di 65 minuti;https://facebook.com/story.php?story_fbid=2414049435510521&id=1652501871665285
Isernia-Venafro;13/11/2019;06:47;UNKNOWN;Problemi alla linea;Ritardo di 110 minuti;https://facebook.com/story.php?story_fbid=2414049435510521&id=1652501871665285
Roma-Campobasso;12/10/2019;20:42;UNKNOWN;Problemi ai tabelloni elettronici;Ritardo di 100 minuti;https://facebook.com/story.php?story_fbid=2353752301540235&id=1652501871665285
Cassino-Venafro;07/10/2019;UNKNOWN;UNKNOWN;Soste immotivate;Ritardo;https://facebook.com/story.php?story_fbid=2349395658642566&id=1652501871665285
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
