POSIZIONE;DATA;PARTENZA STIMATA;ARRIVO STIMATO;PROBLEMA;CONSEGUENZE;LINK
Campobasso-Roma;23/06/2019;08:36;11:47;UNKNOW;Ritardo di 96 minuti;https://facebook.com/story.php?story_fbid=2271657486416384&id=1652501871665285
Campobasso-Roma;28/05/2019;06:47;UNKNOW;Guasto toilette;Ritardo di 20 minuti;https://facebook.com/story.php?story_fbid=2252637791651687&id=1652501871665285
Campobasso-Roma;08/05/2019;12:32;UNKNOW;UNKNOW;Ritardo di 65 minuti;https://facebook.com/story.php?story_fbid=2239532612962205&id=1652501871665285
Cassino-Venafro;07/05/2019;16:43;UNKNOW;Guasto linea elettrica;Ritardo di 420 minuti;https://facebook.com/story.php?story_fbid=2238723553043111&id=1652501871665285
Roma-Campobasso;04/05/2019;17:32;UNKNOW;UNKNOW;Ritardo di 60 minuti;https://facebook.com/story.php?story_fbid=2236640149918118&id=1652501871665285
Cassino-Roma;16/04/2019;05:45;UNKNOW;Guasto stazione ;Treno non arrivato a destinazione;https://facebook.com/story.php?story_fbid=2223981571183976&id=1652501871665285
Venafro-Isernia;11/04/2019;05:45;UNKNOW;Falsi annunci speaker;;https://facebook.com/story.php?story_fbid=2221030501479083&id=1652501871665285
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
