POSIZIONE;DATA;PARTENZA STIMATA;ARRIVO STIMATO;PROBLEMA;CONSEGUENZE;LINK
Isernia-Carpinone;05/04/2018;08:29;UNKNOWN;UNKNOWN;Treno cancellato;https://facebook.com/story.php?story_fbid=1986979238217545&id=1652501871665285
Venafro-Cassino;13/04/2018;06:53;UNKNOWN;Treno fermo tra Venafro e Rocca d'Evandro;"Treno deviato verso Vairano; Ritardo";https://facebook.com/story.php?story_fbid=1988391854742950&id=1652501871665285
Cassino-Venafro;14/04/2018;UNKNOWN;UNKNOWN;Treno guasto;Ritardo di 12 minuti;https://facebook.com/story.php?story_fbid=1988824191366383&id=1652501871665285
Venafro-Cassino;02/05/2018;;UNKNOWN;Cane a bordo del treno;Cane illecitamente portato a un canile romano;https://facebook.com/story.php?story_fbid=1996709690577833&id=1652501871665285
