POSIZIONE;DATA;PARTENZA STIMATA;ARRIVO STIMATO;PROBLEMA;CONSEGUENZE;LINK
Roma-Campobasso;01/01/2020;17:40;20:57;Guasti ai passaggi a livello;Ritardo di 30 minuti;https://facebook.com/story.php?story_fbid=2471424133106384&id=1652501871665285
Roma-Campobasso;05/01/2020;20:44;23:57;UNKNOWN;Ritardo di 175 minuti;https://facebook.com/story.php?story_fbid=2474780709437393&id=1652501871665285
Roma-Cassino;10/01/2020;06:50;10:02;Treno guasto;"Passeggeri scesi a Zagarolo; Treno cancellato";"
https://facebook.com/story.php?story_fbid=2479869015595229&id=1652501871665285"
Cassino-Roma;13/01/2020;UNKNOWN;UNKNOWN;Guasto alla stazione di Roma Termini;Ritardi multipli;https://facebook.com/story.php?story_fbid=2482984975283633&id=1652501871665285
