fid;x;y;DEC_TIPO;layer;time
82;14,58712287;41,46367795;;temp punti xy;2020-02-06T00:14:00.000
83;14,59897424;41,46780783;;temp punti xy;2020-02-06T00:14:10.000
84;14,58630199;41,4813712;;temp punti xy;2020-02-06T00:14:20.000
85;14,59590612;41,49341195;Scalo ferroviario;temp stazioni xy;2020-02-06T00:14:30.000
86;14,59621099;41,49348245;Scalo ferroviario;temp stazioni xy;2020-02-06T00:14:40.000
87;14,59787649;41,4938862;Stazione;temp stazioni xy;2020-02-06T00:14:50.000
88;14,59904249;41,49421845;Scalo ferroviario;temp stazioni xy;2020-02-06T00:15:00.000
89;14,59945299;41,4943717;Scalo ferroviario;temp stazioni xy;2020-02-06T00:15:10.000
90;14,60397374;41,50633383;;temp punti xy;2020-02-06T00:15:20.000
91;14,58860349;41,5100152;;temp punti xy;2020-02-06T00:15:30.000
92;14,59737549;41,52327233;;temp punti xy;2020-02-06T00:15:40.000
93;14,63184412;41,53474358;;temp punti xy;2020-02-06T00:15:50.000
94;14,66216862;41,55575233;Scalo ferroviario;temp stazioni xy;2020-02-06T00:16:00.000
95;14,66240712;41,5559242;Scalo ferroviario;temp stazioni xy;2020-02-06T00:16:10.000
96;14,66266037;41,5564407;Scalo ferroviario;temp stazioni xy;2020-02-06T00:16:20.000
97;14,66403637;41,55812783;Stazione;temp stazioni xy;2020-02-06T00:16:30.000
98;14,66474724;41,55902408;Scalo ferroviario;temp stazioni xy;2020-02-06T00:16:40.000
99;14,66505037;41,55946458;Scalo ferroviario;temp stazioni xy;2020-02-06T00:16:50.000
100;14,66521862;41,55968358;Scalo ferroviario;temp stazioni xy;2020-02-06T00:17:00.000
